time,x_cart,y_cart,z_cart,lat,long,height,clock_offset,integer_ambiguity,noise,visibility,distance
50,-13613779.640567558,15233546.085804816,16930042.43995932,[[39.69304846]],[[131.78623821]],[[20163986.88336015]],-7.661727340746281e-05,100,0.324083969394795,False,27904.79602736926
51,-13615925.768919826,15233870.696990795,16928046.88702908,[[39.68742482]],[[131.79011905]],[[20163999.19775586]],-7.661727659069427e-05,100,-0.38508228041631654,False,27904.918295510877
52,-13618071.63179971,15234195.377150878,16926050.97288519,[[39.68180062]],[[131.79399857]],[[20164011.51258722]],-7.661727977392572e-05,100,-0.6769220003059587,False,27905.04048919007
53,-13620217.229163254,15234520.126241667,16924054.69757083,[[39.67617588]],[[131.79787677]],[[20164023.82785411]],-7.661728295715718e-05,100,0.6116762888408679,False,27905.162608411505
54,-13622362.560966508,15234844.944219755,16922058.061129168,[[39.67055058]],[[131.80175365]],[[20164036.14355639]],-7.661728614038863e-05,100,1.030999522495951,False,27905.284653179882
55,-13624507.627165519,15235169.831041731,16920061.063603412,[[39.66492473]],[[131.80562921]],[[20164048.45969393]],-7.661728932362009e-05,100,0.9312801191161986,False,27905.406623499886
56,-13626652.427716384,15235494.786664171,16918063.705036752,[[39.65929832]],[[131.80950346]],[[20164060.77626661]],-7.661729250685155e-05,100,-0.8392175232226385,False,27905.52851937623
57,-13628796.96257517,15235819.811043652,16916065.985472396,[[39.65367137]],[[131.81337639]],[[20164073.09327429]],-7.6617295690083e-05,100,-0.3092123758512146,False,27905.650340813594
58,-13630941.231697973,15236144.904136732,16914067.904953558,[[39.64804386]],[[131.817248]],[[20164085.41071683]],-7.661729887331446e-05,100,0.33126343140356396,False,27905.77208781668
59,-13633085.235040896,15236470.065899976,16912069.463523462,[[39.6424158]],[[131.8211183]],[[20164097.72859412]],-7.661730205654592e-05,100,0.9755451271223592,False,27905.89376039021
60,-13635228.97256006,15236795.296289934,16910070.661225334,[[39.63678719]],[[131.82498728]],[[20164110.04690602]],-7.661730523977737e-05,100,-0.47917423784528995,False,27906.01535853886
61,-13637372.444211578,15237120.59526315,16908071.49810242,[[39.63115803]],[[131.82885494]],[[20164122.3656524]],-7.661730842300883e-05,100,-0.18565897666381712,False,27906.136882267376
62,-13639515.649951603,15237445.962776158,16906071.974197958,[[39.62552832]],[[131.83272129]],[[20164134.68483312]],-7.661731160624028e-05,100,-1.1063349740060282,False,27906.258331580437
63,-13641658.58973626,15237771.398785474,16904072.08955519,[[39.61989806]],[[131.83658632]],[[20164147.00444806]],-7.661731478947174e-05,100,-1.1962066240806708,False,27906.37970648276
64,-13643801.263521729,15238096.903247636,16902071.844217397,[[39.61426725]],[[131.84045004]],[[20164159.32449708]],-7.66173179727032e-05,100,0.812525822394198,False,27906.50100697908
65,-13645943.671264172,15238422.476119148,16900071.23822783,[[39.60863589]],[[131.84431244]],[[20164171.64498006]],-7.661732115593465e-05,100,1.356240028570823,False,27906.622233074104
66,-13648085.812919771,15238748.117356516,16898070.271629762,[[39.60300398]],[[131.84817353]],[[20164183.96589686]],-7.661732433916611e-05,100,-0.07201012158033385,False,27906.743384772548
67,-13650227.688444696,15239073.82691623,16896068.944466487,[[39.59737152]],[[131.8520333]],[[20164196.28724734]],-7.661732752239756e-05,100,1.0035328978920242,False,27906.864462079135
68,-13652369.297795167,15239399.604754798,16894067.2567813,[[39.59173851]],[[131.85589177]],[[20164208.60903139]],-7.661733070562902e-05,100,0.36163602504763415,False,27906.985464998612
69,-13654510.64092739,15239725.450828698,16892065.208617486,[[39.58610495]],[[131.85974892]],[[20164220.93124888]],-7.661733388886048e-05,100,-0.6451197546051243,False,27907.106393535683
70,-13656651.717797587,15240051.365094388,16890062.800018344,[[39.58047085]],[[131.86360475]],[[20164233.25389966]],-7.661733707209193e-05,100,0.36139560550841393,False,27907.227247695093
71,-13658792.528361998,15240377.347508362,16888060.031027205,[[39.57483619]],[[131.86745927]],[[20164245.5769836]],-7.661734025532339e-05,100,1.5380365664659692,False,27907.348027481577
72,-13660933.072576864,15240703.398027064,16886056.90168738,[[39.56920098]],[[131.87131249]],[[20164257.90050059]],-7.661734343855485e-05,100,-0.03582603910995154,False,27907.468732899877
73,-13663073.350398427,15241029.516606947,16884053.412042197,[[39.56356523]],[[131.87516438]],[[20164270.22445047]],-7.66173466217863e-05,100,1.5646436558140062,False,27907.58936395471
74,-13665213.361782972,15241355.703204468,16882049.562134992,[[39.55792893]],[[131.87901497]],[[20164282.54883314]],-7.661734980501776e-05,100,-2.6197451040897444,False,27907.709920650843
75,-13667353.10668677,15241681.95777606,16880045.352009106,[[39.55229208]],[[131.88286425]],[[20164294.87364845]],-7.661735298824921e-05,100,0.8219025043752238,False,27907.830402993015
76,-13669492.585066102,15242008.280278152,16878040.78170789,[[39.54665468]],[[131.88671222]],[[20164307.19889627]],-7.661735617148067e-05,100,0.08704706823817122,False,27907.95081098596
77,-13671631.796877265,15242334.670667168,16876035.85127471,[[39.54101673]],[[131.89055887]],[[20164319.52457647]],-7.661735935471213e-05,100,-0.29900735046586746,False,27908.071144634443
78,-13673770.742076568,15242661.128899528,16874030.56075292,[[39.53537824]],[[131.89440422]],[[20164331.85068892]],-7.661736253794358e-05,100,0.0917607765355023,False,27908.191403943205
79,-13675909.420620348,15242987.654931635,16872024.910185907,[[39.5297392]],[[131.89824825]],[[20164344.17723349]],-7.661736572117504e-05,100,-1.9875689146008928,False,27908.311588917022
80,-13678047.832464917,15243314.248719895,16870018.89961704,[[39.52409961]],[[131.90209098]],[[20164356.50421005]],-7.66173689044065e-05,100,-0.21967188783751193,False,27908.431699560624
81,-13680185.977566611,15243640.910220698,16868012.529089704,[[39.51845948]],[[131.9059324]],[[20164368.83161846]],-7.661737208763795e-05,100,0.3571125715117464,False,27908.551735878777
82,-13682323.8558818,15243967.639390435,16866005.79864731,[[39.5128188]],[[131.90977251]],[[20164381.1594586]],-7.661737527086941e-05,100,1.477894044741516,False,27908.671697876263
83,-13684461.467366831,15244294.436185487,16863998.708333254,[[39.50717757]],[[131.91361131]],[[20164393.48773034]],-7.661737845410086e-05,100,-0.5182702182736474,False,27908.79158555783
84,-13686598.811978092,15244621.300562218,16861991.25819095,[[39.5015358]],[[131.9174488]],[[20164405.81643353]],-7.661738163733232e-05,100,-0.8084936028931876,False,27908.91139892826
85,-13688735.889671957,15244948.232476993,16859983.4482638,[[39.49589348]],[[131.92128499]],[[20164418.14556807]],-7.661738482056378e-05,100,-0.5017570435845365,False,27909.031137992297
86,-13690872.700404828,15245275.23188618,16857975.27859526,[[39.49025062]],[[131.92511987]],[[20164430.47513381]],-7.661738800379523e-05,100,0.9154021177020741,False,27909.150802754757
87,-13693009.2441331,15245602.298746115,16855966.749228742,[[39.48460721]],[[131.92895344]],[[20164442.80513061]],-7.661739118702669e-05,100,0.32875110965968446,False,27909.27039322037
88,-13695145.5208132,15245929.433013149,16853957.86020769,[[39.47896325]],[[131.93278571]],[[20164455.13555835]],-7.661739437025815e-05,100,-0.5297602037670388,False,27909.389909393947
89,-13697281.530401558,15246256.63464361,16851948.611575563,[[39.47331875]],[[131.93661666]],[[20164467.46641691]],-7.66173975534896e-05,100,0.5132674331133561,False,27909.509351280252
90,-13699417.2728546,15246583.903593838,16849939.003375802,[[39.4676737]],[[131.94044632]],[[20164479.79770614]],-7.661740073672106e-05,100,0.09707754934804039,False,27909.62871888408
91,-13701552.748128789,15246911.239820141,16847929.03565189,[[39.46202811]],[[131.94427467]],[[20164492.12942592]],-7.661740391995251e-05,100,0.9686449905328892,False,27909.74801221022
