epoch,phase
53858,29722342.38380783
53859,29721091.696030628
53860,29719840.87953715
53861,29718589.939173862
53862,29717338.873965614
53863,29716087.687497053
53864,29714836.374410413
53865,29713584.938036375
53866,29712333.37714516
53867,29711081.691019908
53868,29709829.879837196
53869,29708577.950848773
53870,29707325.894857638
53871,29706073.715746112
53872,29704821.414215874
53873,29703568.986430053
53874,29702316.43771408
53875,29701063.764800105
53876,29699810.967395347
53877,29698558.048899632
53878,29697305.009902384
53879,29696051.84367452
53880,29694798.55807137
53881,29693545.14726637
53882,29692291.617161598
53883,29691037.962420963
53884,29689784.185364477
53885,29688530.287644908
53886,29687276.26647812
53887,29686022.122757122
53888,29684767.858870048
53889,29683513.473120455
53890,29682258.96546367
53891,29681004.33454009
53892,29679749.585273117
53893,29678494.710161828
53894,29677239.715467833
53895,29675984.600527428
53896,29674729.36573463
53897,29673474.008551784
53898,29672218.530546445
53899,29670962.93081657
53900,29669707.214053653
53901,29668451.373058464
53902,29667195.409595963
53903,29665939.329400934
53904,29664683.12798149
53905,29663426.80681067
53906,29662170.362653945
53907,29660913.800474208
53908,29659657.11903348
53909,29658400.31997123
53910,29657143.39627454
53911,29655886.356544122
53912,29654629.195571765
53913,29653371.914588377
53914,29652114.516015146
53915,29650856.995111153
53916,29649599.357846275
53917,29648341.599004906
53918,29647083.72524483
53919,29645825.729398716
53920,29644567.618640002
53921,29643309.38407968
53922,29642051.033819955
53923,29640792.564138394
53924,29639533.975495104
53925,29638275.270350903
53926,29637016.44497361
53927,29635757.502890278
53928,29634498.444235954
53929,29633239.263619382
53930,29631979.966631137
53931,29630720.552462284
53932,29629461.02147428
53933,29628201.372534618
53934,29626941.605906226
53935,29625681.720361
53936,29624421.71853842
53937,29623161.601551924
53938,29621901.367254484
53939,29620641.01498727
53940,29619380.54625682
53941,29618119.960290097
53942,29616859.256895673
53943,29615598.437282663
53944,29614337.50326927
53945,29613076.451052636
53946,29611815.28154175
53947,29610553.99889501
53948,29609292.598786082
53949,29608031.082197573
53950,29606769.45006853
53951,29605507.70026302
53952,29604245.83808531
53953,29602983.857702523
53954,29601721.76503573
53955,29600459.553615913
53956,29599197.227579083
53957,29597934.788087554
53958,29596672.229977
53959,29595409.56013303
53960,29594146.776000682
53961,29592883.87394143
53962,29591620.857919883
53963,29590357.727512542
53964,29589094.48229835
53965,29587831.12402837
53966,29586567.650214087
53967,29585304.063278038
53968,29584040.361730367
53969,29582776.547115248
53970,29581512.61605409
53971,29580248.572349213
53972,29578984.416559786
53973,29577720.145436127
53974,29576455.759999707
53975,29575191.26288124
53976,29573926.650685605
53977,29572661.926128443
53978,29571397.090112835
53979,29570132.137558453
53980,29568867.07344436
53981,29567601.897135183
53982,29566336.60562889
53983,29565071.20520965
53984,29563805.69081874
53985,29562540.065231472
53986,29561274.32362478
53987,29560008.471945487
53988,29558742.50761865
53989,29557476.433191538
53990,29556210.24355897
53991,29554943.940817874
53992,29553677.531386446
53993,29552411.005373213
53994,29551144.370194376
53995,29549877.62254371
53996,29548610.767223384
53997,29547343.796803754
53998,29546076.71581977
53999,29544809.52344855
54000,29543542.219875433
54001,29542274.80468204
54002,29541007.280166432
54003,29539739.643640865
54004,29538471.89683738
54005,29537204.040011007
54006,29535936.075496268
54007,29534667.99487477
54008,29533399.80809375
54009,29532131.510823496
54010,29530863.1010944
54011,29529594.581103597
54012,29528325.952840026
54013,29527057.215584114
54014,29525788.369910825
54015,29524519.41166306
54016,29523250.343854863
54017,29521981.166782457
54018,29520711.88172074
54019,29519442.486667998
54020,29518172.982678417
54021,29516903.36861267
54022,29515633.646658756
54023,29514363.81711546
54024,29513093.876126032
54025,29511823.828521464
54026,29510553.672495414
54027,29509283.407670613
54028,29508013.03498094
54029,29506742.55088533
54030,29505471.96100589
54031,29504201.26562049
54032,29502930.460086245
54033,29501659.543595012
54034,29500388.522253457
54035,29499117.394430522
54036,29497846.157143172
54037,29496574.812880088
54038,29495303.3603882
54039,29494031.802946396
54040,29492760.13585644
54041,29491488.362595946
54042,29490216.481509123
54043,29488944.496304512
54044,29487672.40121947
54045,29486400.200894676
54046,29485127.894876357
54047,29483855.47887065
54048,29482582.959642425
54049,29481310.33165962
54050,29480037.599956296
54051,29478764.76290027
54052,29477491.815169167
54053,29476218.766107533
54054,29474945.610795897
54055,29473672.34731726
54056,29472398.978112902
54057,29471125.503961664
54058,29469851.924065314
54059,29468578.24312009
54060,29467304.451437403
54061,29466030.55519093
54062,29464756.556036856
54063,29463482.451071914
54064,29462208.241870183
54065,29460933.93018859
54066,29459659.509474196
54067,29458384.985199008
54068,29457110.357584458
54069,29455835.62549833
54070,29454560.787171677
54071,29453285.846861757
54072,29452010.799451143
54073,29450735.649891194
54074,29449460.396471396
54075,29448185.040729474
54076,29446909.577017915
54077,29445634.01656089
54078,29444358.3468034
54079,29443082.57675308
54080,29441806.69982987
54081,29440530.724389322
54082,29439254.643575188
54083,29437978.45816371
54084,29436702.17150759
54085,29435425.78001942
54086,29434149.288400255
54087,29432872.693975545
54088,29431595.99478466
54089,29430319.19623059
54090,29429042.290166046
54091,29427765.286590405
54092,29426488.17778877
54093,29425210.970734444
54094,29423933.658927284
54095,29422656.24579645
54096,29421378.731750652
54097,29420101.11406784
54098,29418823.398898117
54099,29417545.577134944
54100,29416267.655182935
54101,29414989.63199239
54102,29413711.508054648
54103,29412433.284580946
54104,29411154.95777251
54105,29409876.5325179
54106,29408598.003841847
54107,29407319.375507683
54108,29406040.64672535
54109,29404761.816940684
54110,29403482.887406003
54111,29402203.85888494
54112,29400924.726789467
54113,29399645.4959481
54114,29398366.165527
54115,29397086.73388212
54116,29395807.202409204
54117,29394527.569963854
54118,29393247.840866245
54119,29391968.014019493
54120,29390688.08451133
54121,29389408.05547826
54122,29388127.930181224
54123,29386847.700782508
54124,29385567.37235427
54125,29384286.95036334
54126,29383006.42676442
54127,29381725.80350416
54128,29380445.082426626
54129,29379164.259339206
54130,29377883.34252254
54131,29376602.324500356
54132,29375321.210426953
54133,29374039.997764803
54134,29372758.684080273
54135,29371477.27526341
54136,29370195.7659544
54137,29368914.161184233
54138,29367632.457306415
54139,29366350.65858463
54140,29365068.75710713
54141,29363786.76221498
54142,29362504.67006848
54143,29361222.47605536
54144,29359940.190557636
54145,29358657.805284623
54146,29357375.32255665
54147,29356092.74563157
54148,29354810.07051852
54149,29353527.29715322
54150,29352244.427292854
54151,29350961.46073492
54152,29349678.400548004
54153,29348395.242090594
54154,29347111.987813715
54155,29345828.636954498
54156,29344545.19038966
54157,29343261.648601122
54158,29341978.00910896
54159,29340694.27741152
54160,29339410.44600947
54161,29338126.521741334
54162,29336842.50071649
54163,29335558.38575349
54164,29334274.174508363
54165,29332989.868072763
54166,29331705.464988902
54167,29330420.969592743
54168,29329136.380146243
54169,29327851.69218838
54170,29326566.9128893
54171,29325282.036559206
54172,29323997.06650452
54173,29322712.002857476
54174,29321426.843403038
54175,29320141.59250319
54176,29318856.244017247
54177,29317570.80468852
54178,29316285.270569034
54179,29314999.64145955
54180,29313713.91829213
54181,29312428.10325408
54182,29311142.193017356
54183,29309856.190795377
