epoch,phase
54078,48473711.57821633
54079,48472435.80766835
54080,48471159.93024747
54081,48469883.954309255
54082,48468607.87299744
54083,48467331.68708828
54084,48466055.39993446
54085,48464779.007948615
54086,48463502.51583174
54087,48462225.92090934
54088,48460949.22122073
54089,48459672.422168955
54090,48458395.515606694
54091,48457118.511533335
54092,48455841.402233966
54093,48454564.19468191
54094,48453286.882377
54095,48452009.46874843
54096,48450731.95420489
54097,48449454.33602432
54098,48448176.620356835
54099,48446898.798095904
54100,48445620.875646114
54101,48444342.851957805
54102,48443064.727522284
54103,48441786.50355079
54104,48440508.17624457
54105,48439229.75049217
54106,48437951.221318305
54107,48436672.592486344
54108,48435393.8632062
54109,48434115.03292373
54110,48432836.10289123
54111,48431557.07387234
54112,48430277.94127903
54113,48428998.709939815
54114,48427719.37902089
54115,48426439.94687816
54116,48425160.4149074
54117,48423880.78196419
54118,48422601.05236874
54119,48421321.225024104
54120,48420041.29501807
54121,48418761.26548713
54122,48417481.139692195
54123,48416200.90979562
54124,48414920.58086947
54125,48413640.15838066
54126,48412359.63428383
54127,48411079.010525666
54128,48409798.28895022
54129,48408517.46536488
54130,48407236.54805029
54131,48405955.52953018
54132,48404674.41495885
54133,48403393.20179877
54134,48402111.88761629
54135,48400830.47830147
54136,48399548.96849452
54137,48398267.363226384
54138,48396985.65885061
54139,48395703.85963087
54140,48394421.95765538
54141,48393139.96226525
54142,48391857.86962076
54143,48390575.67510966
54144,48389293.38911394
54145,48388011.00334293
54146,48386728.52011695
54147,48385445.94269385
54148,48384163.267082796
54149,48382880.49321947
54150,48381597.62286108
54151,48380314.65580512
54152,48379031.595120154
54153,48377748.436164714
54154,48376465.18138979
54155,48375181.83003252
54156,48373898.382969625
54157,48372614.84068303
54158,48371331.200692795
54159,48370047.46849729
54160,48368763.63659716
54161,48367479.711830944
54162,48366195.690308
54163,48364911.5748469
54164,48363627.36310369
54165,48362343.05616999
54166,48361058.65258801
54167,48359774.15669374
54168,48358489.566749126
54169,48357204.87829313
54170,48355920.09849592
54171,48354635.22166769
54172,48353350.25111487
54173,48352065.18696968
54174,48350780.02701709
54175,48349494.77561908
54176,48348209.42663498
54177,48346923.98680809
54178,48345638.45219042
54179,48344352.82258277
54180,48343067.098917164
54181,48341781.28338094
54182,48340495.372646004
54183,48339209.36992583
54184,48337923.27303876
54185,48336637.08298965
54186,48335350.80143028
54187,48334064.42578845
54188,48332777.956914514
54189,48331491.394308046
54190,48330204.7409837
54191,48328917.99162622
54192,48327631.153812736
54193,48326344.22119349
54194,48325057.19570797
54195,48323770.07899923
54196,48322482.87074032
54197,48321195.56920946
54198,48319908.175664395
54199,48318620.68991566
54200,48317333.11260823
54201,48316045.44510703
54202,48314757.68371609
54203,48313469.83394584
54204,48312181.8883799
54205,48310893.85608515
54206,48309605.72990455
54207,48308317.51302038
54208,48307029.20543278
54209,48305740.804143645
54210,48304452.31706356
54211,48303163.73637619
54212,48301875.06548207
54213,48300586.30800196
54214,48299297.45158257
54215,48298008.51110062
54216,48296719.477380276
54217,48295430.3545693
54218,48294141.14137056
54219,48292851.84110756
54220,48291562.44856749
54221,48290272.964344434
54222,48288983.393792145
54223,48287693.73016906
54224,48286403.979634084
54225,48285114.14014571
54226,48283824.20859425
54227,48282534.18977788
54228,48281244.08235225
54229,48279953.88516029
54230,48278663.59792046
54231,48277373.226283915
54232,48276082.75953151
54233,48274792.209020555
54234,48273501.567819946
54235,48272210.83713473
54236,48270920.0207749
54237,48269629.11359393
54238,48268338.1204754
54239,48267047.039141595
54240,48265755.867711075
54241,48264464.61076714
54242,48263173.264096364
54243,48261881.83149089
54244,48260590.31048623
54245,48259298.70159606
54246,48258007.00432749
54247,48256715.223845124
54248,48255423.35476523
54249,48254131.39552574
54250,48252839.3503811
54251,48251547.21990262
54252,48250255.00272911
54253,48248962.698035076
54254,48247670.30621937
54255,48246377.82778039
54256,48245085.26360919
54257,48243792.61231778
54258,48242499.87427171
54259,48241207.051735796
54260,48239914.14263214
54261,48238621.148138136
54262,48237328.06511768
54263,48236034.90067008
54264,48234741.645760424
54265,48233448.31023176
54266,48232154.8875657
54267,48230861.37849026
54268,48229567.78261907
54269,48228274.10487322
54270,48226980.340600014
54271,48225686.49225435
54272,48224392.556669794
54273,48223098.53828392
54274,48221804.433068305
54275,48220510.244290605
54276,48219215.97312942
54277,48217921.61584673
54278,48216627.17271309
54279,48215332.64628895
54280,48214038.03764414
54281,48212743.34354835
54282,48211448.56578126
54283,48210153.704630874
54284,48208858.75922202
54285,48207563.72899522
54286,48206268.61522798
54287,48204973.419270866
54288,48203678.13980609
54289,48202382.777417414
54290,48201087.330982
54291,48199791.802130595
54292,48198496.19034335
54293,48197200.49463166
54294,48195904.71780854
54295,48194608.85882818
54296,48193312.913745575
54297,48192016.88763575
54298,48190720.78061817
54299,48189424.58919501
54300,48188128.31730147
54301,48186831.96210467
54302,48185535.52501883
54303,48184239.00658248
54304,48182942.40633493
54305,48181645.723746605
54306,48180348.96221314
54307,48179052.1159607
54308,48177755.189610675
54309,48176458.17909009
54310,48175161.09066965
54311,48173863.92072903
54312,48172566.67023549
54313,48171269.335125126
54314,48169971.921004266
54315,48168674.42810712
54316,48167376.85217735
54317,48166079.19889573
54318,48164781.46157039
54319,48163483.64417638
54320,48162185.747303605
54321,48160887.77037029
54322,48159589.71146434
54323,48158291.57610025
54324,48156993.35841313
54325,48155695.06254278
54326,48154396.68428583
54327,48153098.229498394
54328,48151799.69344568
54329,48150501.07769917
54330,48149202.38407525
54331,48147903.60695967
54332,48146604.75614739
54333,48145305.823449515
54334,48144006.81223802
54335,48142707.72127069
54336,48141408.55199115
54337,48140109.30677479
54338,48138809.98055103
54339,48137510.57694618
54340,48136211.09409468
54341,48134911.52926286
54342,48133611.891126
54343,48132312.173886724
54344,48131012.3789346
54345,48129712.50581252
54346,48128412.551941656
54347,48127112.52328211
54348,48125812.41840903
54349,48124512.23103821
54350,48123211.969861306
54351,48121911.63225089
54352,48120611.21748687
54353,48119310.72021443
54354,48118010.151344776
54355,48116709.504263505
54356,48115408.780728355
54357,48114107.97847551
54358,48112807.098273546
54359,48111506.144327186
54360,48110205.11598985
54361,48108904.00766492
54362,48107602.82240313
54363,48106301.56411948
54364,48105000.227918215
54365,48103698.81308502
54366,48102397.32552711
54367,48101095.76415833
54368,48099794.12637318
54369,48098492.409456216
54370,48097190.61605751
54371,48095888.75076406
54372,48094586.811522074
54373,48093284.79489648
54374,48091982.70207372
54375,48090680.534826405
54376,48089378.294177815
54377,48088075.977689065
54378,48086773.58570022
54379,48085471.117791474
54380,48084168.57879608
54381,48082865.96220277
54382,48081563.272215895
54383,48080260.50813646
54384,48078957.67055105
54385,48077654.75874151
54386,48076351.76977537
54387,48075048.710768856
54388,48073745.57691632
54389,48072442.37056038
54390,48071139.08716844
54391,48069835.732674874
54392,48068532.30534092
54393,48067228.802746244
54394,48065925.22916019
54395,48064621.57923756
54396,48063317.85996675
54397,48062014.06587308
54398,48060710.19712078
54399,48059406.25715419
54400,48058102.24468412
54401,48056798.159742
54402,48055494.001355715
54403,48054189.77230873
54404,48052885.46924489
54405,48051581.095526755
54406,48050276.6459708
54407,48048972.12890461
54408,48047667.53904555
54409,48046362.87440239
54410,48045058.14175549
54411,48043753.336076826
54412,48042448.459796704
54413,48041143.508882314
54414,48039838.48923357
54415,48038533.39700978
54416,48037228.23480559
54417,48035923.00287938
54418,48034617.69657205
54419,48033312.32035618
54420,48032006.87456475
54421,48030701.357223526
54422,48029395.76970402
54423,48028090.11151248
54424,48026784.38305544
54425,48025478.58356569
54426,48024172.71580687
54427,48022866.77562734
54428,48021560.76859378
54429,48020254.68805995
54430,48018948.53986822
54431,48017642.321221136
54432,48016336.030683056
54433,48015029.674415074
54434,48013723.249110214
54435,48012416.749969214
54436,48011110.18710792
54437,48009803.550305165
54438,48008496.846130244
54439,48007190.07272804
54440,48005883.23152805
54441,48004576.3207896
54442,48003269.34018359
54443,48001962.29168864
54444,48000655.17410863
54445,47999347.991354324
54446,47998040.737300955
54447,47996733.414868675
54448,47995426.02548662
54449,47994118.56832561
54450,47992811.0418067
54451,47991503.44939304
54452,47990195.78653771
54453,47988888.05879067
54454,47987580.261773326
54455,47986272.399289355
54456,47984964.4669016
54457,47983656.46884231
54458,47982348.40600934
54459,47981040.271883965
54460,47979732.07190513
54461,47978423.8059985
54462,47977115.47181559
54463,47975807.069801636
54464,47974498.60318774
54465,47973190.068583
54466,47971881.471868545
54467,47970572.804660164
