time,x_cart,y_cart,z_cart,lat,long,height,clock_offset,integer_ambiguity,noise,visibility,distance
53530,19344141.033522606,-13175171.746937837,-12759736.19842998,[[-28.63687458]],[[-34.25852902]],[[20283690.45351517]],-7.678751262574065e-05,100,0.2247648319457016,True,25875.764853588393
53531,19343435.29890325,-13173720.740830202,-12762313.766733348,[[-28.64318476]],[[-34.2565656]],[[20283697.10685597]],-7.678751580897211e-05,100,-0.04837211837180928,True,25875.42237940493
53532,19342729.471787922,-13172269.424630763,-12764891.066479256,[[-28.64949466]],[[-34.25460145]],[[20283703.75834419]],-7.678751899220356e-05,100,1.2123281895216838,True,25875.07987800563
53533,19342023.552233137,-13170817.798348956,-12767468.097613668,[[-28.65580428]],[[-34.25263656]],[[20283710.40797955]],-7.678752217543502e-05,100,-0.4612784954656663,True,25874.73734938648
53534,19341317.54029545,-13169365.861994263,-12770044.860082496,[[-28.66211362]],[[-34.25067093]],[[20283717.05576179]],-7.678752535866648e-05,100,1.4795987936718817,True,25874.394793543495
53535,19340611.43603141,-13167913.615576228,-12772621.35383163,[[-28.66842268]],[[-34.24870458]],[[20283723.70169066]],-7.678752854189793e-05,100,0.5221625335240359,True,25874.052210472713
53536,19339905.239497546,-13166461.059104357,-12775197.578807,[[-28.67473145]],[[-34.24673748]],[[20283730.34576589]],-7.678753172512939e-05,100,-0.5133179176966377,True,25873.70960017014
53537,19339198.950750414,-13165008.192588141,-12777773.534954559,[[-28.68103995]],[[-34.24476965]],[[20283736.9879872]],-7.678753490836085e-05,100,0.10064084562391476,True,25873.366962631786
53538,19338492.56984654,-13163555.016037168,-12780349.222220229,[[-28.68734816]],[[-34.24280108]],[[20283743.62835435]],-7.67875380915923e-05,100,1.32511482507104,True,25873.024297853677
53539,19337786.096842468,-13162101.529460996,-12782924.64054994,[[-28.69365609]],[[-34.24083178]],[[20283750.26686707]],-7.678754127482376e-05,100,0.15541462420895777,True,25872.681605831844
53540,19337079.53179475,-13160647.732869172,-12785499.789889665,[[-28.69996374]],[[-34.23886173]],[[20283756.90352511]],-7.678754445805521e-05,100,-0.811166610936202,True,25872.33888656231
53541,19336372.874759927,-13159193.626271265,-12788074.670185346,[[-28.7062711]],[[-34.23689096]],[[20283763.53832817]],-7.678754764128667e-05,100,-1.7227759712460573,True,25871.996140041087
53542,19335666.12579453,-13157739.209676957,-12790649.281382898,[[-28.71257819]],[[-34.23491944]],[[20283770.17127603]],-7.678755082451813e-05,100,-1.38850170151976,True,25871.653366264236
53543,19334959.2849551,-13156284.483095737,-12793223.623428375,[[-28.71888499]],[[-34.23294719]],[[20283776.8023684]],-7.678755400774958e-05,100,0.14405818757057193,True,25871.310565227745
53544,19334252.352298174,-13154829.446537351,-12795797.696267636,[[-28.72519151]],[[-34.23097419]],[[20283783.43160502]],-7.678755719098104e-05,100,1.7765960566026657,True,25870.96773692767
53545,19333545.327880304,-13153374.100011365,-12798371.499846721,[[-28.73149775]],[[-34.22900046]],[[20283790.05898564]],-7.67875603742125e-05,100,-0.20868687222293955,True,25870.62488136005
53546,19332838.21175804,-13151918.443527399,-12800945.034111625,[[-28.7378037]],[[-34.22702599]],[[20283796.68450999]],-7.678756355744395e-05,100,-0.6289041306599453,True,25870.281998520888
53547,19332131.003987905,-13150462.477095192,-12803518.299008295,[[-28.74410938]],[[-34.22505079]],[[20283803.3081778]],-7.678756674067541e-05,100,0.3441176319649379,True,25869.939088406263
53548,19331423.70462645,-13149006.20072433,-12806091.29448278,[[-28.75041476]],[[-34.22307484]],[[20283809.92998882]],-7.678756992390686e-05,100,-0.07583243725723252,True,25869.596151012174
53549,19330716.3137302,-13147549.61442459,-12808664.020481003,[[-28.75671987]],[[-34.22109815]],[[20283816.54994278]],-7.678757310713832e-05,100,0.49200713928851,True,25869.253186334685
53550,19330008.831355732,-13146092.718205553,-12811236.476949058,[[-28.76302469]],[[-34.21912073]],[[20283823.16803942]],-7.678757629036978e-05,100,-0.31390397427833355,True,25868.910194369808
53551,19329301.257559534,-13144635.512077093,-12813808.663832845,[[-28.76932923]],[[-34.21714256]],[[20283829.78427847]],-7.678757947360123e-05,100,-0.5046412169875473,True,25868.56717511362
53552,19328593.59239819,-13143177.996048827,-12816380.581078462,[[-28.77563349]],[[-34.21516366]],[[20283836.39865969]],-7.678758265683269e-05,100,1.6557117664493466,True,25868.224128562164
53553,19327885.835928217,-13141720.170130556,-12818952.228631865,[[-28.78193747]],[[-34.21318401]],[[20283843.01118279]],-7.678758584006415e-05,100,1.362492348838599,True,25867.881054711474
53554,19327177.988206163,-13140262.034331968,-12821523.606439149,[[-28.78824116]],[[-34.21120363]],[[20283849.62184752]],-7.67875890232956e-05,100,-0.38695399439478645,True,25867.537953557585
53555,19326470.049288575,-13138803.58866286,-12824094.714446291,[[-28.79454456]],[[-34.2092225]],[[20283856.23065361]],-7.678759220652706e-05,100,-1.2996197278518749,True,25867.194825096554
53556,19325762.019231983,-13137344.833133036,-12826665.55259935,[[-28.80084769]],[[-34.20724064]],[[20283862.83760082]],-7.678759538975851e-05,100,0.1311825021608198,True,25866.85166932445
53557,19325053.898092918,-13135885.767752253,-12829236.120844379,[[-28.80715053]],[[-34.20525803]],[[20283869.44268885]],-7.678759857298997e-05,100,-0.5441564124172071,True,25866.508486237308
53558,19324345.685927946,-13134426.39253031,-12831806.419127427,[[-28.81345308]],[[-34.20327468]],[[20283876.04591747]],-7.678760175622143e-05,100,1.2262986608488569,True,25866.165275831183
53559,19323637.382793598,-13132966.707477061,-12834376.447394518,[[-28.81975535]],[[-34.20129059]],[[20283882.64728641]],-7.678760493945288e-05,100,0.003699467774518626,True,25865.82203810214
53560,19322928.9887464,-13131506.71260232,-12836946.205591738,[[-28.82605734]],[[-34.19930575]],[[20283889.24679541]],-7.678760812268434e-05,100,-0.38562776575904695,True,25865.478773046234
53561,19322220.503842894,-13130046.407915944,-12839515.693665136,[[-28.83235905]],[[-34.19732018]],[[20283895.84444419]],-7.67876113059158e-05,100,1.6515153388908057,True,25865.135480659523
53562,19321511.92813963,-13128585.793427741,-12842084.911560826,[[-28.83866046]],[[-34.19533386]],[[20283902.44023251]],-7.678761448914725e-05,100,-0.4901849417692511,True,25864.792160938054
53563,19320803.26169315,-13127124.869147636,-12844653.85922482,[[-28.8449616]],[[-34.1933468]],[[20283909.03416009]],-7.678761767237871e-05,100,-0.3776952358143187,True,25864.4488138779
53564,19320094.50455998,-13125663.635085529,-12847222.536603222,[[-28.85126245]],[[-34.19135899]],[[20283915.62622668]],-7.678762085561016e-05,100,-0.8864759482154752,True,25864.105439475155
53565,19319385.656796657,-13124202.091251235,-12849790.943642162,[[-28.85756302]],[[-34.18937044]],[[20283922.21643201]],-7.678762403884162e-05,100,-0.30284694001719364,True,25863.762037725835
53566,19318676.71845973,-13122740.237654755,-12852359.080287678,[[-28.8638633]],[[-34.18738115]],[[20283928.80477583]],-7.678762722207308e-05,100,-0.4945013750737446,True,25863.41860862605
53567,19317967.68960574,-13121278.074305896,-12854926.946485946,[[-28.87016329]],[[-34.18539112]],[[20283935.39125786]],-7.678763040530453e-05,100,-1.0777970002318267,True,25863.07515217182
53568,19317258.57029123,-13119815.601214718,-12857494.542182963,[[-28.87646301]],[[-34.18340034]],[[20283941.97587785]],-7.678763358853599e-05,100,1.1315027886725355,True,25862.73166835927
53569,19316549.360572718,-13118352.818391072,-12860061.867324946,[[-28.88276243]],[[-34.18140882]],[[20283948.55863553]],-7.678763677176744e-05,100,-0.8612742936103547,True,25862.388157184425
53570,19315840.06050675,-13116889.725844983,-12862628.921857947,[[-28.88906157]],[[-34.17941655]],[[20283955.13953064]],-7.67876399549989e-05,100,1.5577474494690526,True,25862.04461864339
53571,19315130.67014988,-13115426.323586376,-12865195.705728138,[[-28.89536043]],[[-34.17742354]],[[20283961.71856294]],-7.678764313823036e-05,100,-0.412109357022863,True,25861.701052732235
53572,19314421.18955863,-13113962.611625321,-12867762.21888154,[[-28.901659]],[[-34.17542978]],[[20283968.29573213]],-7.678764632146181e-05,100,-0.5767881179626179,True,25861.35745944703
53573,19313711.618789542,-13112498.589971708,-12870328.461264433,[[-28.90795729]],[[-34.17343528]],[[20283974.87103797]],-7.678764950469327e-05,100,0.6053150092008827,True,25861.013838783863
53574,19313001.957899153,-13111034.258635659,-12872894.432822844,[[-28.91425529]],[[-34.17144003]],[[20283981.44448021]],-7.678765268792473e-05,100,0.3443441968462385,True,25860.670190738823
53575,19312292.206943996,-13109569.617627094,-12875460.133503,[[-28.920553]],[[-34.16944404]],[[20283988.01605855]],-7.678765587115618e-05,100,-0.5688622257136227,True,25860.326515307952
53576,19311582.365980614,-13108104.666956147,-12878025.563250978,[[-28.92685043]],[[-34.1674473]],[[20283994.58577276]],-7.678765905438764e-05,100,-0.10505013735586635,True,25859.982812487375
53577,19310872.435065567,-13106639.406632792,-12880590.722012993,[[-28.93314757]],[[-34.16544981]],[[20284001.15362258]],-7.67876622376191e-05,100,1.4007370462667172,True,25859.63908227317
53578,19310162.414255343,-13105173.836667158,-12883155.609735163,[[-28.93944443]],[[-34.16345158]],[[20284007.71960772]],-7.678766542085055e-05,100,-0.6151261038265489,True,25859.29532466141
53579,19309452.303606518,-13103707.957069255,-12885720.22636372,[[-28.945741]],[[-34.1614526]],[[20284014.28372794]],-7.6787668604082e-05,100,-0.43269014905631475,True,25858.951539648184
53580,19308742.103175607,-13102241.767849298,-12888284.571844723,[[-28.95203729]],[[-34.15945287]],[[20284020.84598298]],-7.678767178731346e-05,100,0.5423531944233998,True,25858.607727229617
53581,19308031.813019175,-13100775.269017212,-12890848.646124503,[[-28.95833328]],[[-34.1574524]],[[20284027.40637258]],-7.678767497054492e-05,100,-0.20611745641906182,True,25858.263887401754
53582,19307321.433193725,-13099308.460583283,-12893412.449149106,[[-28.964629]],[[-34.15545118]],[[20284033.96489646]],-7.678767815377638e-05,100,0.20277792675860032,True,25857.92002016072
53583,19306610.963755805,-13097841.342557576,-12895975.98086479,[[-28.97092442]],[[-34.15344921]],[[20284040.52155437]],-7.678768133700783e-05,100,0.10637717543940531,True,25857.57612550261
53584,19305900.40476196,-13096373.914950173,-12898539.24121779,[[-28.97721956]],[[-34.15144649]],[[20284047.07634604]],-7.678768452023929e-05,100,0.9239973586098448,True,25857.232203423497
53585,19305189.756268706,-13094906.177771345,-12901102.230154213,[[-28.98351441]],[[-34.14944303]],[[20284053.62927122]],-7.678768770347074e-05,100,-0.6937364902152359,True,25856.888253919504
53586,19304479.018332623,-13093438.131031144,-12903664.947620349,[[-28.98980898]],[[-34.14743882]],[[20284060.18032965]],-7.67876908867022e-05,100,-0.05700276766003919,True,25856.544276986715
53587,19303768.19101019,-13091969.774739884,-12906227.393562337,[[-28.99610326]],[[-34.14543385]],[[20284066.72952106]],-7.678769406993366e-05,100,1.6458207997213352,True,25856.200272621256
53588,19303057.274357975,-13090501.108907636,-12908789.567926485,[[-29.00239725]],[[-34.14342814]],[[20284073.27684518]],-7.678769725316511e-05,100,0.6314934034129863,True,25855.856240819205
53589,19302346.268432505,-13089032.13354469,-12911351.470658949,[[-29.00869095]],[[-34.14142168]],[[20284079.82230178]],-7.678770043639657e-05,100,2.620985442722237,True,25855.51218157668
53590,19301635.173290335,-13087562.848661203,-12913913.101706,[[-29.01498437]],[[-34.13941447]],[[20284086.36589056]],-7.678770361962802e-05,100,0.9938515901869239,True,25855.16809488978
53591,19300923.98898796,-13086093.254267503,-12916474.461013826,[[-29.0212775]],[[-34.13740651]],[[20284092.90761128]],-7.678770680285948e-05,100,1.902112825043983,True,25854.82398075464
53592,19300212.715581935,-13084623.350373708,-12919035.548528757,[[-29.02757034]],[[-34.1353978]],[[20284099.44746367]],-7.678770998609094e-05,100,-0.5243754571037779,True,25854.479839167314
53593,19299501.353128806,-13083153.136990221,-12921596.364196928,[[-29.0338629]],[[-34.13338834]],[[20284105.98544748]],-7.67877131693224e-05,100,0.9335865765561434,True,25854.135670123993
53594,19298789.90168509,-13081682.614127232,-12924156.90796467,[[-29.04015517]],[[-34.13137813]],[[20284112.52156244]],-7.678771635255385e-05,100,1.160265445805979,True,25853.79147362073
53595,19298078.361307338,-13080211.781795,-12926717.179778239,[[-29.04644715]],[[-34.12936717]],[[20284119.05580829]],-7.67877195357853e-05,100,-0.47998207138074195,True,25853.447249653655
53596,19297366.732052065,-13078740.640003892,-12929277.179583874,[[-29.05273884]],[[-34.12735546]],[[20284125.58818477]],-7.678772271901676e-05,100,-1.3270536318429242,True,25853.102998218892
53597,19296655.013975807,-13077269.188764242,-12931836.907327818,[[-29.05903024]],[[-34.12534299]],[[20284132.11869162]],-7.678772590224822e-05,100,0.6680816467594983,True,25852.758719312573
53598,19295943.20713511,-13075797.428086245,-12934396.362956457,[[-29.06532136]],[[-34.12332978]],[[20284138.64732857]],-7.678772908547967e-05,100,-1.144646851294563,True,25852.414412930775
53599,19295231.311586507,-13074325.357980413,-12936955.546415914,[[-29.07161218]],[[-34.12131581]],[[20284145.17409537]],-7.678773226871113e-05,100,0.9017674865300608,True,25852.07007906968
53600,19294519.327386517,-13072852.978456918,-12939514.457652656,[[-29.07790272]],[[-34.11930109]],[[20284151.69899175]],-7.678773545194259e-05,100,0.7918652585379274,True,25851.725717725356
53601,19293807.254591677,-13071380.289526304,-12942073.09661281,[[-29.08419297]],[[-34.11728562]],[[20284158.22201746]],-7.678773863517404e-05,100,-0.05425049328175422,True,25851.38132889397
53602,19293095.09325852,-13069907.291198863,-12944631.46324275,[[-29.09048294]],[[-34.11526939]],[[20284164.74317222]],-7.67877418184055e-05,100,-1.1081812182703672,True,25851.036912571635
53603,19292382.843443584,-13068433.983484907,-12947189.55748885,[[-29.09677261]],[[-34.11325242]],[[20284171.26245579]],-7.678774500163696e-05,100,0.7947846113691963,True,25850.692468754456
53604,19291670.505203404,-13066960.366394961,-12949747.379297294,[[-29.103062]],[[-34.11123469]],[[20284177.77986789]],-7.678774818486841e-05,100,0.7122822103737005,True,25850.347997438595
53605,19290958.078594506,-13065486.439939395,-12952304.928614484,[[-29.10935109]],[[-34.1092162]],[[20284184.29540829]],-7.678775136809987e-05,100,-2.5665926488950213,True,25850.003498620183
53606,19290245.563673407,-13064012.204128651,-12954862.205386698,[[-29.1156399]],[[-34.10719697]],[[20284190.80907669]],-7.678775455133132e-05,100,-2.06672127647269,True,25849.658972295336
53607,19289532.960496657,-13062537.658973163,-12957419.209560288,[[-29.12192842]],[[-34.10517698]],[[20284197.32087285]],-7.678775773456278e-05,100,1.8016210999942155,True,25849.314418460206
